stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
3069O00040C9,"",Rua Goiás oposto ao 742,"",-22.88875,-43.31136,"","",0,"","",,""
3069O00041C0,"",Rua Cardoso Quintão próximo ao 33,"",-22.87751,-43.30938,"","",0,"","",,""
3069O00043C0,"",Rua Vírgem Peregrina próximo ao 41,"",-22.87998,-43.3121,"","",0,"","",,""
3069O00044C0,"",Rua Joaquim Martins próximo ao 372,"",-22.89947,-43.3111,"","",0,"","",,""
3069O00046C0,"",Rua Heitor Servan próximo ao 96,"",-22.90248,-43.31247,"","",0,"","",,""
3069O00048C0,"",Rua Paraná 167,"",-22.89822,-43.30849,"","",0,"","",,""
3069O00049C0,"",Rua Paraná 71,"",-22.89695,-43.30823,"","",0,"","",,""
3069O00050C0,"",Rua Clarimundo de Melo próximo ao 581,"",-22.895894,-43.316588,"","",0,"","",,""
3069O00051C0,"",Rua Clarimundo de Melo próximo ao 441,"",-22.896226,-43.313414,"","",0,"","",,""
3069O00052C0,"",Rua Clarimundo de Melo 272,"",-22.896159,-43.309826,"","",0,"","",,""
3069O00053C0,"","Rua Clarimundo de Melo, 263","",-22.896226,-43.308855,"","",0,"","",,""
3069O00054C0,"",Ponto Final: Água Santa :: Linha 238,"",-22.898888,-43.313189,"","",0,"","",,""
3069O00055C0,"",Ponto Final: Água Santa :: Linha 239,"",-22.901831,-43.314256,"","",0,"","",,""
3069O00056C0,"",Ponto Final: Água Santa :: Linha 249,"",-22.897637,-43.31268,"","",0,"","",,""
3069O00057C9,"",R. Fagundes Varela,"",-22.898274,-43.310537,"","",0,"","",,""
3069O00059C0,"",Condomínio Vivaz Piedade,"",-22.892254,-43.307259,"","",0,"","",,""
3069O00060C0,"",Subestação Light Piedade,"",-22.892447,-43.306629,"","",0,"","",,""
3069O00061C0,"","R. Assis Carneiro, 217","",-22.892306,-43.310998,"","",0,"","",,""
3069O00062C0,"","R. Assis Carneiro, 344","",-22.893085,-43.311511,"","",0,"","",,""
3069O00063C0,"","R. Assis Carneiro, 532","",-22.894679,-43.312234,"","",0,"","",,""
3069O00064C0,"","R. Assis Carneiro, 662","",-22.895723,-43.312725,"","",0,"","",,""
3069O00065C0,"","R. Assis Carneiro, 607","",-22.895595,-43.312536,"","",0,"","",,""
3069O00066C0,"",R. Carandá próximo ao 315,"",-22.904135,-43.313028,"","",0,"","",,""
3070O00003C0,"",Rua da Abolição 557,"",-22.88715,-43.29698,"","",0,"","",,""
3070O00004C0,"",Rua Mario Carpenter próximo ao 826,"",-22.88835,-43.29783,"","",0,"","",,""
3070O00007C0,"",Rua Teixeira de Azevedo 463,"",-22.89069,-43.30009,"","",0,"","",,""
3070O00008C0,"",Rua Teixeira de Azevedo lado oposto ao número 286,"",-22.88975,-43.29817,"","",0,"","",,""
3070O00009C0,"",Rua Teixeira de Azevedo 63,"",-22.88871,-43.29602,"","",0,"","",,""
3070O00010C0,"",Rua da Abolição 461,"",-22.88634,-43.29745,"","",0,"","",,""
3070O00011C0,"",Rua Moreira 93,"",-22.88436,-43.29998,"","",0,"","",,""
3070O00012C0,"",Ponto Final: Abolição :: Linha 457,"",-22.885719,-43.30051,"","",0,"","",,""
3070O00013C0,"",Rua Mario Carpenter próximo ao 1136-1200 - Abolição,"",-22.886956,-43.297009,"","",0,"","",,""
3071O00001C0,"",Rua Álvaro Miranda próximo ao 241-265,"",-22.87837,-43.29092,"","",0,"","",,""
3071O00003C0,"","Rua Ibate ,20","",-22.8807,-43.29133,"","",0,"","",,""
3071O00007C0,"","Av. João Ribeiro,574","",-22.871267,-43.299302,"","",0,"","",,""
3071O00009C0,"","Avenida João Ribeiro ,357","",-22.87431,-43.29728,"","",0,"","",,""
3071O00010C0,"","Avenida João Ribeiro ,273","",-22.87621,-43.29703,"","",0,"","",,""
3071O00011C0,"","Avenida João Ribeiro,203","",-22.87757,-43.29643,"","",0,"","",,""
3071O00012C0,"","Avenida João Ribeiro ,57","",-22.88023,-43.29444,"","",0,"","",,""
3071O00013C0,"","Rua Glaziou ,84","",-22.88136,-43.29594,"","",0,"","",,""
3071O00018C9,"",Rua de Lazer próximo ao 149,"",-22.88107,-43.28825,"","",0,"","",,""
3071O00019C0,"",Rua José dos Reis próximo ao 1725,"",-22.88177,-43.28754,"","",0,"","",,""
3071O00021C9,"",Rua Ivan de Oliveira Lima próximo ao 16-38,"",-22.88014,-43.29067,"","",0,"","",,""
3071O00022C0,"",Rua Álvaro Miranda próximo ao 265-287,"",-22.87833,-43.29079,"","",0,"","",,""
3071O00023C9,"",Rua de Lazer próximo ao 148-160,"",-22.88058,-43.28842,"","",0,"","",,""
3071O00025C0,"","Av. João Ribeiro,74","",-22.88006,-43.294408,"","",0,"","",,""
3071O00026C0,"","Avenida João Ribeiro ,158","",-22.87862,-43.29549,"","",0,"","",,""
3071O00027C0,"","Avenida João Ribeiro ,276","",-22.87638,-43.29688,"","",0,"","",,""
3071O00028C0,"","Avenida João Ribeiro ,334","",-22.87502,-43.29707,"","",0,"","",,""
